device,config,avg_bw_mbps,std_bw_mbps
flow_1,NON_PCN,17.0023,5.646808630545221
flow_2,NON_PCN,16.496875,4.730893624292877
flow_1,NON_PCN,16.80815,4.476501795766422
flow_2,NON_PCN,16.5002125,5.038535385391646
flow_1,PCN,17.124975,4.964625212377567
flow_2,PCN,17.1757125,4.7469069658403615
flow_1,PCN,18.54241551939925,7.129014262364797
flow_2,PCN,17.0331875,6.275752860401989
flow_1,PCN_MIN,16.39435,4.831868383710384
flow_2,PCN_MIN,16.2771375,6.3823399260062725
flow_1,PCN_MIN,16.57,5.094349713162614
flow_2,PCN_MIN,16.91625,5.1049792788511885
flow_1,PCN_FIN_MIN,17.417284105131415,7.378020923599465
flow_2,PCN_FIN_MIN,15.726187499999998,4.96643149956221
flow_1,PCN_FIN_MIN,16.87565,5.091665378586852
flow_2,PCN_FIN_MIN,16.225975000000002,5.690634063913704
flow_1,PCN_HARMONIC,15.5780125,5.409032854849723
flow_2,PCN_HARMONIC,14.9119375,4.76658421944832
flow_1,PCN_HARMONIC,16.902443037974685,8.490028207743148
flow_2,PCN_HARMONIC,16.21191489361702,5.412083773948464
flow_1,PCN_FIN_HARMONIC,16.644779874213835,7.681044694119029
flow_2,PCN_FIN_HARMONIC,15.214163473818644,6.201641136056511
flow_1,PCN_FIN_HARMONIC,16.629537499999998,4.9955595693669546
flow_2,PCN_FIN_HARMONIC,15.1612375,5.155270685773322
